review_id,review_text,rating,date,helpful_count,app_version,developer_reply
fe518fe6-3b72-4bba-914e-f862eb88e137,"So far I love this app. Definitely not what it was designed for, but it works great for color coding and numbering cattle by ear tag color/# and showing which pasture they are located in. Easy to drag and move each cow to a different pasture when moving them around. Thank you for creating a good app that works well and connects from multiple devices.",5,2026-09-03 12:39:57,0,2026.17.0.80562,
3314d120-8398-4f16-8a2a-7c8c913c025b,Last update ruined adding new items straight to inbox. It was a quick way to add something. The new add card wants too much information and defeats the point of quick entry. I may as well open the full app. Poor design decision by someone who obviously doesn't use quick entry. We need a quick add to inbox ability that is fast. Please return it.,1,2026-09-02 01:48:31,0,,
5734610b-166d-4cb9-9599-f218e7c0a1c6,Trello is a simple but powerful application. Makes organizing tasks and managing projects much easier.,5,2026-09-01 08:31:37,0,2026.17.0.80562,
d4995cb7-e1b2-4684-b9a9-81fd8b095551,too difficult and confusing to navigate the app,2,2026-08-30 12:42:16,0,2026.17.0.80562,
534287b1-412d-4cdb-9297-07dbe7979141,I use this app to manage my team for a project. it's amazing to plan and execute task and goals,5,2026-08-28 10:37:24,0,2026.17.0.80562,
7948c874-d4df-4813-80f7-821600eece46,very useful,5,2026-08-27 00:33:30,0,2026.17.0.80562,
b693f287-97e9-48e8-b53c-588d26ffa522,App somehow doesn't respect links to the website opening in a browser and no matter what you pick from the system prompt: it WILL force open the app and steal that link. This is Unacceptable Behaviour,1,2026-08-22 02:35:27,1,2026.15.2.77923,
335b18f9-9c94-4642-8873-019734c4cb29,"#1Trello Can Turn You Into Millionaire or Multi-Millionaire or Help You Go Even Higher, When You Learn How Correctly Use To Increase Your Productivity.",5,2026-08-21 17:00:16,0,2026.16.0.79037,
8e985cea-821c-45d2-87b4-0f07bdd2b38e,"I downloaded the app today to test it out for a meal planner. I decided to delete it as it's not what I need right now. I had attempted to delete my account, however it would not let me, said something about admin and billing address. So I try deleting my workplace thinking that would help but it won't let you do that either. Anyways I'm just gonna delete it and they can delete my account in two years lol. It is a good app otherwise don't get me wrong",1,2026-08-19 03:01:33,1,2026.16.0.79037,Hi there! Thanks for the review. We’re sorry to hear you’re running into issues with Trello. Would you mind reaching out to us on our contact form? We'd be happy to help investigate this with you further -https://support.atlassian.com/contact/
da4c92dd-989a-4dfd-b16b-634964f7d226,The service blocks email aliases for accounts. This is forcing me to sacrifice my privacy to be able to use it. Will never use it again.,1,2026-08-14 15:39:41,0,,Sorry to hear that! Could you write to us at https://support.atlassian.com/contact/ with more details of your issue? We'd love to help you troubleshoot.
919ca11a-ea60-4b2b-b887-7409380ad682,"Trello makes managing tasks much easier with its boards and cards. It's simple to see what's pending, what's in progress, and what has already been completed.",5,2026-08-14 07:59:38,1,,
e23f8778-2d6b-46d3-b02d-e08ca946035a,Trello has been really helpful for keeping track of my tasks. I like being able to move things around and see what I’ve already finished. Simple app but actually very useful when you have a lot of things to remember.,5,2026-08-14 07:39:36,0,,
cc0eb2ec-333e-4c52-95ed-11316cab681c,"Trello is an excellent and user-friendly app for organizing tasks and managing projects. I love how easy it is to create boards, lists, and cards to keep everything organized. The interface is simple, clean, and easy to understand. It’s especially useful for planning work, tracking progress, and collaborating with others. Highly recommended for anyone looking for a simple and effective productivity app!",5,2026-08-12 18:18:37,0,2026.16.0.79037,
d132b9fa-951c-4fcb-ba2b-005618495a72,its not working in iran right? i had an email said my acc will be deleted n after that i checked it n i couldnt log in anymore.,1,2026-08-12 12:13:14,0,,Hi there! Thanks for the review. We’re sorry to hear you’re running into issues with Trello. Would you mind reaching out to us on our contact form? We'd be happy to help investigate this with you further -https://support.atlassian.com/contact/
c524d7b5-aa21-464f-b67a-fdf706baef86,Trello makes organising tasks much easier for me. The boards and cards are simple to understand and useful for keeping track of different projects.,5,2026-08-11 12:22:55,0,,
396e57bb-857f-449a-aa79-95cb76a07885,Excellent App,5,2026-08-08 12:23:13,0,2026.15.2.77923,
63aa79c5-4a9d-4a46-9ca9-742d18ec4c9c,"⭐⭐⭐⭐⭐ Very useful for organizing tasks and projects. Simple, flexible, and easy to keep track of everything.",5,2026-08-08 04:21:31,0,,
245834b5-2f7d-44eb-bb7a-9d8222132f3e,wow I really love Trello,5,2026-08-06 14:06:55,0,2026.15.2.77923,
fa8fa01a-421d-4898-a20a-d1e784fa3fc6,"⭐⭐⭐⭐⭐ Incredibly flexible, user-friendly, and efficient!I love Trello because it does not have a steep learning curve like other project management software. It is a blank canvas that works perfectly for anything from planning a vacation to launching a business. The checklists, due date reminders, and color-coded labels keep my daily workflow perfectly organized. Highly recommended!",5,2026-08-06 09:03:52,1,2026.15.2.77923,
b55c44a9-613b-4bb3-aa21-66ea9c794538,"Trello is an excellent project management and productivity app that helps users organize tasks, manage projects, and collaborate with teams efficiently. The app uses a simple card-and-board system that makes it easy to track progress, set deadlines, and manage daily activities.",5,2026-08-05 12:21:00,0,2026.15.2.77923,
907ac422-1603-4016-922c-c62910f370a1,"Trello makes organising tasks and projects easier with boards, lists, and cards that help users stay organised.",5,2026-08-05 08:16:57,0,,
405870fc-63e9-40e0-ba3d-a7f720821fb5,Super intuitive project management! Visual Kanban boards make workflow tracking effortless for individual or team projects.,5,2026-08-05 06:27:06,1,2026.15.2.77923,
cf32eeaa-a3d4-4683-9ccc-0105468bafb5,Thank for creating such helpful app.,5,2026-08-04 19:06:41,0,,
4d562161-9f5e-4ab2-a1a1-39adf3a9c8dc,"We shifted our team’s workflow to Trello a few months ago, and productivity has skyrocketed. The ability to customize boards, add checklists, set due dates, and integrate with tools like Slack and Google Drive makes collaboration seamless. It strikes the perfect balance between simple and powerful. Highly recommended!",5,2026-08-04 02:54:22,0,2026.15.2.77923,
f7c9564c-618d-4ad9-a6c6-b79db70af118,"Honestly, I've been using this apps only one times and it was very smooth and easy to use. I also used this apps to plan some things that i wanted to do.",5,2026-08-04 02:14:47,0,2026.15.2.77923,
d7232309-cddb-449c-85bf-758cdaeb2d35,Trello is simple yet powerful for organizing tasks and projects. The board system makes teamwork and planning much more efficient.,5,2026-08-03 13:10:35,0,2026.15.2.77923,
4d0e8d95-eb3c-4d55-934f-6aa43eab2009,The interface is simple and makes it easy to keep track of tasks. I especially like the board and card system because I can quickly see what needs to be done.,4,2026-08-02 10:52:36,0,2026.15.2.77923,
f3db1e35-4b49-473a-abb5-376fe2c932e5,"Excellent app for planning work and personal goals. Easy to use and keeps everything organized.""",5,2026-08-02 10:05:08,0,2026.15.2.77923,
99728e15-456b-4dce-8a2b-81ac510ec927,widget falls well short of expectation. Almost never refreshes. I have to force stop it multiple times a week as it gets either slow responding or completely unresponsive.,2,2026-07-26 10:01:39,4,,
b1d323fd-278a-4a13-b230-ee3e554729a1,another app that forces log in just to test. instant delete!,1,2026-07-25 11:56:48,0,,Hi there! Thanks for the review. We’re sorry to hear you’re running into issues with Trello. Would you mind reaching out to us on our contact form? We'd be happy to help investigate this with you further -https://support.atlassian.com/contact/
d20c7ccc-d15c-4841-9182-d48f33894e05,Best app ever made for group planning.,5,2026-07-24 17:56:12,0,2026.14.1.77868,
f1d47918-d055-4772-8046-12b12c6c791c,useful for getting works done,5,2026-07-23 11:29:05,0,2026.14.1.77868,
4f05e011-9e4b-433a-b8ef-5ebfa6eded86,"I used Trello for everything. To save my templates, livery, assets for my ROBLOX experience. Most of my friends use Trello for saving their assets or using it as their portfolio. At first I would think that they would be mediocre but it's too good, even if it's only free.",5,2026-07-23 03:29:35,0,2026.14.1.77868,
0daa8509-bfea-47f2-aed4-5e3e51c2cab3,Intuitive Kanban board system that makes visual project management simple and fun.,5,2026-07-21 18:41:29,2,2026.14.1.77868,
